id,comment_text,harmful_label_binary
d480ba525e2965e4,"Thanks but please reblock me, i have no desire to take part on a site which allows a person to be linked to perverted websites, criminals, and racism. None of it has been deleted as i can see it in petris history still. You can block me for abusing multipile accounts or making personal attacks, or block evasion i don`t give a fuck, just get this done and delete that shit that has been associated with my name please",1
b1fe3728737d7f38,"""

 hi 

  hi hi, i created correctly, then why deletion link this article.   """,0
e9c302eeb13b083d,"unblock|its MY TALK PAGE . HELLO CAN YOU NOT SEE THAT. I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IP ADDRESS AND MY TALK PAGE SO GTFO.
Blocking me won't do anything but make me call Jim. I suggest you read his talk page.

Sick of pervert child molestors stalking me around wikipedia.",1
1a231de82186755c,wikipedia doesn't have any rules against blasphemy. lets leave the template in the article until the TfD you started is concluded. cheers,0
8c9d9ce77823cef6,You can't ban me aha!,1
3a8a15fd15ac482a,"The article John Lee (Musician) has been speedily deleted from Wikipedia. This was done because the article seemed to be about a person, group of people, band, club, company, or web content, but it did not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. If you can indicate why the subject is really notable, you are free to re-create the article, making sure to cite any verifiable sources.

Please see the guidelines for what is generally accepted as notable, and for specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",0
221e56a1c15ab929,"Rlevse, you really are a racist you know. Also, I'm Not even an Arab! lol Furthermore, Do not put words in my mouth. GOT IT?? Your just so blinded by your hatred its incredible and laughable. )",1
0d17ad5df146d4f2,"i lookd back in history when it was put it had link 2 extern gc site, sum1 removed that link so ur a fucking liar about no source.",1
06aa9b7bb2e019b5,"I'll be back!! 

From now on SJP, or shithead as I will call you from now on, I am going to make your on-line activities on wikipedia a living hell. You should have stayed out of my business!!!!",1
aabdf9074d05c4d8,"lol 

lol you're a nerd! lol",1
5fbfcbf8760834de,"""

Bullshit. """"His corkscrew senton finisher hasn't been called the Cancun Tornado"""". Why the fuck would you argue if you don't have your facts straight? Watch iDia de los Dangerous!, I guarantee you they name the move at least five times during the event. The fact that Ultimo Dragon uses the name for a different move doesn't matter. For example, in wrestling, for years and years, the name """"Last Call"""" was synonymous with a fallaway slam, but that didn't stop TNA from giving that SAME name to a superkick. Sometimes two different moves have the same name. The guys name is Human Tornado and apparently they thought that the move name Cancun Tornado fit his characters name, even though the move wasn't a corkscrew moonsault. PWG has named the move (multiple times) and therefore it should be in the article.
  """,1
